Year,Month,Min_Temp,Max_Temp,Affect_days,RainFall_mm,Sun_Hours,Estimated_data_ind,SunshineData_Source,Provisional_Ind,Location,Latitude,Longitude
1941,1,0,0,0,74.7,0,N,Campbell Stokes recorder,N,224100E 252100N,52.139,-4.57
1941,2,0,0,0,69.1,0,N,Campbell Stokes recorder,N,224100E 252100N,52.139,-4.57
1941,3,0,0,0,76.2,0,N,Campbell Stokes recorder,N,224100E 252100N,52.139,-4.57
1941,4,0,0,0,33.7,0,N,Campbell Stokes recorder,N,224100E 252100N,52.139,-4.57
1941,5,0,0,0,51.3,0,N,Campbell Stokes recorder,N,224100E 252100N,52.139,-4.57
1941,6,0,0,0,25.7,0,N,Campbell Stokes recorder,N,224100E 252100N,52.139,-4.57
1941,7,0,0,0,53.9,0,N,Campbell Stokes recorder,N,224100E 252100N,52.139,-4.57
1941,8,0,0,0,91.8,0,N,Campbell Stokes recorder,N,224100E 252100N,52.139,-4.57
1941,9,0,0,0,25.5,0,N,Campbell Stokes recorder,N,224100E 252100N,52.139,-4.57
1941,10,0,0,0,106.2,0,N,Campbell Stokes recorder,N,224100E 252100N,52.139,-4.57
1941,11,0,0,0,92.3,0,N,Campbell Stokes recorder,N,224100E 252100N,52.139,-4.57
1941,12,0,0,0,86.5,0,N,Campbell Stokes recorder,N,224100E 252100N,52.139,-4.57
1942,1,5.8,2.1,0,114,58,N,Campbell Stokes recorder,N,224100E 252100N,52.139,-4.57
1942,2,4.2,-0.6,0,13.8,80.3,N,Campbell Stokes recorder,N,224100E 252100N,52.139,-4.57
1942,3,9.7,3.7,0,58,117.9,N,Campbell Stokes recorder,N,224100E 252100N,52.139,-4.57
1942,4,13.1,5.3,0,42.5,200.1,N,Campbell Stokes recorder,N,224100E 252100N,52.139,-4.57
1942,5,14,6.9,0,101.1,215.1,N,Campbell Stokes recorder,N,224100E 252100N,52.139,-4.57
1942,6,16.2,9.9,0,2.3,269.3,N,Campbell Stokes recorder,N,224100E 252100N,52.139,-4.57
1942,7,17.4,11.3,0,70.2,185,N,Campbell Stokes recorder,N,224100E 252100N,52.139,-4.57
1942,8,18.7,12.3,0,78.5,141.9,N,Campbell Stokes recorder,N,224100E 252100N,52.139,-4.57
1942,9,16.4,10.7,0,146.8,129.1,N,Campbell Stokes recorder,N,224100E 252100N,52.139,-4.57
1942,10,13.1,8.2,0,131.1,82.1,N,Campbell Stokes recorder,N,224100E 252100N,52.139,-4.57
1942,11,9.2,4.6,0,19.8,62.9,N,Campbell Stokes recorder,N,224100E 252100N,52.139,-4.57
1942,12,9.6,6.2,0,183.9,31.4,N,Campbell Stokes recorder,N,224100E 252100N,52.139,-4.57
1943,1,8.2,3.5,0,176.7,41.4,N,Campbell Stokes recorder,N,224100E 252100N,52.139,-4.57
